label,trial,model,plugin_can_fire,mu,usable,carry_duration_s,final_z,lift_m,note,pad_dist_drift_mm,pad_separation_mm_mean,pad_separation_mm_range,pick_reported_holding,pick_succeeded,place_err_at_release_m,place_succeeded,q_at_stall_rad,slip_final_mm,slip_max_mm,slip_rate_mm_per_s,twist_final_deg,twist_max_deg,v_max_carry_mps,v_max_whole_trial_mps,window,z_min_during_carry,z_rest
plugin_off,3,probe_part_plugin_off_003,False,1.0,True,12.144000000000005,0.624999,0.11624100000000004,,5.864988311723167,101.77466849284531,0.37691528398467256,True,True,0.008961164489060541,True,0.40961666460824775,10.630906401908643,14.860072662423073,1.0365424255365947,19.719315375885195,28.51480550713153,0.20417145306944023,0.20417145306944023,grasp-to-release,0.624998,0.624999
plugin_off,4,probe_part_plugin_off_004,False,1.0,True,12.181000000000012,0.625,0.119031,,5.256320901383901,101.7827360619007,0.5169996613592218,True,True,0.009401518281639388,True,0.41001322304423765,10.642625186586422,12.91920813518284,1.2604381462453833,20.1379778207771,24.917042636668608,0.21310222898840311,0.22012824195590738,grasp-to-release,0.624998,0.624999
plugin_off,5,probe_part_plugin_off_005,False,1.0,True,12.100999999999999,0.625,0.11835300000000004,,5.5247840836218955,101.77696837095681,0.5509676586701602,True,True,0.009500860855733024,True,0.41057445432116074,10.725103270368493,14.573804094330857,1.534810252449723,20.166173201570686,28.20766805605809,0.234933153847859,0.234933153847859,grasp-to-release,0.624993,0.624999
plugin_off,6,probe_part_plugin_off_006,False,1.0,True,12.123999999999967,0.025,0.119537,,0.7869977616117012,101.8111964318826,0.2839956502215273,True,True,0.0002067292915868481,True,0.40727436920022386,0.8889424943983881,0.8923991885165842,0.06004779220856236,0.22236097989058265,0.3060328736834893,0.18446480392987372,3.169680165172159,grasp-to-release,0.624996,0.624999
plugin_off,7,probe_part_plugin_off_007,False,1.0,True,12.124000000000024,0.625,0.11697600000000008,,5.883458964281516,101.74004751757862,0.395942955164827,True,True,0.008964292777458787,True,0.4085066001893589,10.40385043140732,15.354766930958274,1.2564316784323533,19.077505058960828,29.5351307710162,0.21092409821169425,0.21092409821169425,grasp-to-release,0.625015,0.624999
plugin_off,8,probe_part_plugin_off_008,False,1.0,True,12.165999999999997,0.625,0.11778100000000002,,5.674484934765303,101.75053818792036,0.48393145582825525,True,True,0.009223889418244341,True,0.4083545949577472,10.623707114316504,14.316888525072397,1.2846553341176181,19.630156492293192,27.436153861148835,0.20048029106937643,0.21602270399687298,grasp-to-release,0.624993,0.624999
plugin_on,1,workpiece,True,1.0,True,9.114999999999995,1.201293,0.576294,,0.0012229475778298138,97.00009242623379,0.0020900415899234304,False,False,0.509374382867847,False,,0.00038218840318331084,0.0014939421870374565,-5.192036400843044e-05,0.0,0.12807889190665556,0.24833545028396103,0.24833545028396103,airborne,0.676426,0.624999
plugin_on,2,workpiece,True,1.0,True,9.09899999999999,1.201243,0.5762440000000001,,0.0017749831053919252,96.99952985213405,0.0019182373812753895,False,False,0.5093210361667776,False,,0.00159663661742057,0.0019322511256455969,9.600953653700084e-05,0.0,0.2027350693826477,0.24833192890479464,0.24833192890479464,airborne,0.676072,0.624999
plugin_on,3,workpiece,True,1.0,True,9.144000000000005,1.201312,0.576313,,0.0014333048416403926,96.99992466714744,0.0020407655538718927,False,False,0.5092895489620811,False,,0.0008840631439799693,0.0016693885918009038,2.404653026327606e-05,0.0,0.15348539550679383,0.24836583182827152,0.24836583182827152,airborne,0.675401,0.624999
plugin_on,4,workpiece,True,1.0,True,9.131,1.201217,0.576218,,0.0017470210214867166,96.99959441216825,0.0020625319811387044,False,False,0.5093225237008472,False,,0.0011207680158526344,0.0019819997504432565,2.2757707569249444e-05,0.09881300929200593,0.2080675680590481,0.24873309439830715,0.24873309439830715,airborne,0.675283,0.624999
plugin_on,5,workpiece,True,1.0,True,8.812999999999988,1.201353,0.5763539999999999,,0.0012857292847598956,96.99951523944392,0.0018914380911354556,False,False,0.5093691383446783,False,,0.0011171213936153467,0.0015287015114669985,7.147860710857993e-05,0.0,0.06418639187596571,0.24827177038952475,0.24827177038952475,airborne,0.675094,0.624999
plugin_on,6,workpiece,True,1.0,True,9.117000000000019,1.201279,0.57628,,0.0011207895436626814,96.99958719536089,0.0020456789886083016,False,False,0.5092889413024791,False,,0.00013519312363064324,0.0017439240168870321,-0.00012200983938921424,0.14864241702662045,0.17016011149256552,0.2485950567129216,0.2485950567129216,airborne,0.675655,0.624999
plugin_on,7,workpiece,True,1.0,True,8.969999999999999,1.201271,0.576272,,0.0013193207210946412,96.99969282655724,0.0020099770210606493,False,False,0.5093063088446873,False,,0.0003756609937020076,0.0019376839137979353,-8.797880639608686e-05,0.0,0.17583800010311856,0.2483351597389435,0.2483351597389435,airborne,0.675971,0.624999
plugin_on,8,workpiece,True,1.0,True,8.650000000000034,1.201245,0.5762459999999999,,0.0015941302774820088,96.99986528284259,0.0023270921910807374,False,False,0.5093786513704711,False,,0.00027928569174131516,0.002092436347791053,-0.00013827621615220882,0.0,0.15380988413780813,0.24829306161179174,0.24829306161179174,airborne,0.675864,0.624999
step0p0005,1,probe_part_step0p0005_001,False,1.0,True,12.120999999999995,0.025,0.116309,,3.7912577678728496,101.89608110514777,0.30091754320970665,True,True,0.007584380264728325,True,0.40853172493908363,8.59163483515041,9.426087647040584,0.2250276671261339,16.290507215353962,17.98965616457162,0.1850340765032974,3.321823930785687,grasp-to-release,0.625012,0.624999
step0p0005,2,probe_part_step0p0005_002,False,1.0,True,12.099500000000006,0.025,0.11677100000000007,,3.378578755721179,101.89439684949723,0.3239222707400131,True,True,0.006989382304610324,True,0.40773131278774405,8.069607729991919,8.071886703550918,0.24780665981545494,15.27821592291307,15.278739238431466,0.18504698796574087,3.336485733916029,grasp-to-release,0.625011,0.624999
